uuid	filename	cancer	TCGA_barcode	tumor_or_normal
85d8d46e-5206-4c07-95e0-56b22c013321	jhu-usc.edu_BRCA.HumanMethylation450.5.lvl-3.TCGA-A2-A0YK-01A-22D-A10A-05.txt	BRCA	TCGA-A2-A0YK-01A-22D-A10A-05	Tumor
87218ab2-3fc8-4d35-81c0-337e10b64fab	jhu-usc.edu_CESC.HumanMethylation450.4.lvl-3.TCGA-EK-A2GZ-01A-11D-A17Z-05.txt	CESC	TCGA-EK-A2GZ-01A-11D-A17Z-05	Tumor
d794c956-9333-488d-b784-aaaf86c2e5de	jhu-usc.edu_LIHC.HumanMethylation450.17.lvl-3.TCGA-XR-A8TF-01A-11D-A369-05.txt	LIHC	TCGA-XR-A8TF-01A-11D-A369-05	Tumor
2bd54e96-d70d-4e75-9cc0-984d3f2fce31	jhu-usc.edu_THCA.HumanMethylation450.15.lvl-3.TCGA-E8-A44M-01A-21D-A23V-05.txt	THCA	TCGA-E8-A44M-01A-21D-A23V-05	Tumor
8f3bf221-d738-4850-aa00-ca1e0d10a7e7	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-76-6661-01B-11D-1844-05.txt	GBM	TCGA-76-6661-01B-11D-1844-05	Tumor
d1d49296-fdb1-45ee-8b4f-aeac8a4d6353	jhu-usc.edu_THCA.HumanMethylation450.15.lvl-3.TCGA-FY-A4B3-01A-11D-A23V-05.txt	THCA	TCGA-FY-A4B3-01A-11D-A23V-05	Tumor
5a9039cb-771b-4eea-b019-609027a89b7e	jhu-usc.edu_SKCM.HumanMethylation450.1.lvl-3.TCGA-D3-A1QB-06A-11D-A19D-05.txt	SKCM	TCGA-D3-A1QB-06A-11D-A19D-05	Tumor
36953ea5-e82d-4eac-875d-9421f4775b95	jhu-usc.edu_HNSC.HumanMethylation450.6.lvl-3.TCGA-CR-5248-01A-01D-2014-05.txt	HNSC	TCGA-CR-5248-01A-01D-2014-05	Tumor
7d7e0055-964f-42e3-95f7-cdd8253929ff	jhu-usc.edu_SKCM.HumanMethylation450.1.lvl-3.TCGA-BF-A1PU-01A-11D-A19D-05.txt	SKCM	TCGA-BF-A1PU-01A-11D-A19D-05	Tumor
539fad7d-0b40-41c2-9f1f-31072b480539	jhu-usc.edu_BRCA.HumanMethylation450.10.lvl-3.TCGA-E2-A1IH-01A-11D-A13K-05.txt	BRCA	TCGA-E2-A1IH-01A-11D-A13K-05	Tumor
fd369076-8108-4285-996a-a242aa59211c	jhu-usc.edu_LGG.HumanMethylation450.13.lvl-3.TCGA-HT-A74H-01A-11D-A32C-05.txt	LGG	TCGA-HT-A74H-01A-11D-A32C-05	Tumor
db45f876-e66b-4713-82b5-1b19353bb771	jhu-usc.edu_BRCA.HumanMethylation450.3.lvl-3.TCGA-AO-A0JI-01A-21D-A10P-05.txt	BRCA	TCGA-AO-A0JI-01A-21D-A10P-05	Tumor
c1b2d527-2a2d-4763-a13f-8be41be3bf1b	jhu-usc.edu_ESCA.HumanMethylation450.3.lvl-3.TCGA-LN-A4A9-01A-11D-A28C-05.txt	ESCA	TCGA-LN-A4A9-01A-11D-A28C-05	Tumor
bcbf9175-586e-4a96-89fd-be7c84706173	jhu-usc.edu_THCA.HumanMethylation450.14.lvl-3.TCGA-E8-A434-01A-11D-A23O-05.txt	THCA	TCGA-E8-A434-01A-11D-A23O-05	Tumor
f084a0ad-3f94-43d3-a173-a51eb17cac43	jhu-usc.edu_LUAD.HumanMethylation450.13.lvl-3.TCGA-55-8621-01A-11D-2398-05.txt	LUAD	TCGA-55-8621-01A-11D-2398-05	Tumor
0333e25e-12e1-4e6e-b4a2-bad0d3d51574	jhu-usc.edu_TGCT.HumanMethylation450.1.lvl-3.TCGA-XE-AAO3-01A-11D-A436-05.txt	TGCT	TCGA-XE-AAO3-01A-11D-A436-05	Tumor
81c87eaf-4573-4b6e-9974-9656a8896a44	jhu-usc.edu_KIRP.HumanMethylation450.2.lvl-3.TCGA-BQ-5887-11A-01D-1963-05.txt	KIRP	TCGA-BQ-5887-11A-01D-1963-05	Normal
5c861075-10db-423e-8dfa-65d338bd9f1c	jhu-usc.edu_SKCM.HumanMethylation450.3.lvl-3.TCGA-D3-A3MV-06A-11D-A21B-05.txt	SKCM	TCGA-D3-A3MV-06A-11D-A21B-05	Tumor
155e81b2-0e66-45b5-b196-371caad17692	jhu-usc.edu_SKCM.HumanMethylation450.1.lvl-3.TCGA-D3-A3CB-06A-11D-A19B-05.txt	SKCM	TCGA-D3-A3CB-06A-11D-A19B-05	Tumor
