uuid	filename	cancer	TCGA_barcode	tumor_or_normal
23fa7b4b-9d68-429b-aece-658b11124bb3	jhu-usc.edu_OV.HumanMethylation27.1.lvl-3.TCGA-09-0364-01A-02D-0359-05.gdc_hg38.txt	OV	TCGA-09-0364-01A-02D-0359-05	Tumor
a84d3dad-140e-4c9b-9e97-2f0ab98a0f97	jhu-usc.edu_OV.HumanMethylation27.13.lvl-3.TCGA-13-0913-02A-01D-0807-05.gdc_hg38.txt	OV	TCGA-13-0913-02A-01D-0807-05	Tumor
27eb8c4c-65e0-4f44-9794-9061855504d1	jhu-usc.edu_OV.HumanMethylation27.14.lvl-3.TCGA-36-2545-01A-01D-1047-05.gdc_hg38.txt	OV	TCGA-36-2545-01A-01D-1047-05	Tumor
ac0ab4f8-bd7e-4fc4-bd47-5d56c7b60915	jhu-usc.edu_OV.HumanMethylation27.1.lvl-3.TCGA-13-0757-01A-01D-0359-05.gdc_hg38.txt	OV	TCGA-13-0757-01A-01D-0359-05	Tumor
6ab0e8a5-0a94-4a8b-b44c-8ca9dc5b0a30	jhu-usc.edu_OV.HumanMethylation27.10.lvl-3.TCGA-30-1859-01A-01D-0652-05.gdc_hg38.txt	OV	TCGA-30-1859-01A-01D-0652-05	Tumor
3832713b-a268-40fe-a0c6-c27cba7f619c	jhu-usc.edu_OV.HumanMethylation27.14.lvl-3.TCGA-36-2534-01A-01D-1047-05.gdc_hg38.txt	OV	TCGA-36-2534-01A-01D-1047-05	Tumor
44414e94-5726-4e1c-832d-eb5d27d66eaf	jhu-usc.edu_OV.HumanMethylation27.8.lvl-3.TCGA-09-1675-01B-01D-0563-05.gdc_hg38.txt	OV	TCGA-09-1675-01B-01D-0563-05	Tumor
023ecb07-96aa-45e6-8c5d-84099c9752d5	jhu-usc.edu_OV.HumanMethylation27.5.lvl-3.TCGA-24-1417-01A-01D-0475-05.gdc_hg38.txt	OV	TCGA-24-1417-01A-01D-0475-05	Tumor
a77cd2f3-0355-4b88-bbc5-fdd0fabb7f1c	jhu-usc.edu_OV.HumanMethylation27.7.lvl-3.TCGA-25-1626-01A-01D-0536-05.gdc_hg38.txt	OV	TCGA-25-1626-01A-01D-0536-05	Tumor
49102880-7037-4e1d-8edc-1de525e3d98f	jhu-usc.edu_OV.HumanMethylation27.9.lvl-3.TCGA-29-1769-01A-01D-0581-05.gdc_hg38.txt	OV	TCGA-29-1769-01A-01D-0581-05	Tumor
6e8e188d-eaad-423f-a232-20acdf368667	jhu-usc.edu_OV.HumanMethylation27.2.lvl-3.TCGA-13-0903-01A-01D-0402-05.gdc_hg38.txt	OV	TCGA-13-0903-01A-01D-0402-05	Tumor
6399d771-e92b-4d82-9196-66b56839197d	jhu-usc.edu_OV.HumanMethylation27.4.lvl-3.TCGA-25-1323-01A-01D-0460-05.gdc_hg38.txt	OV	TCGA-25-1323-01A-01D-0460-05	Tumor
de86a3a6-cb46-4913-adfd-639d47fc2dea	jhu-usc.edu_OV.HumanMethylation27.2.lvl-3.TCGA-10-0926-01A-01D-0402-05.gdc_hg38.txt	OV	TCGA-10-0926-01A-01D-0402-05	Tumor
348f22f2-c2be-4fac-9e20-b26bc537813d	jhu-usc.edu_OV.HumanMethylation27.11.lvl-3.TCGA-61-2096-01A-01D-0667-05.gdc_hg38.txt	OV	TCGA-61-2096-01A-01D-0667-05	Tumor
f1bc8528-23db-4bf4-8e43-21321ad84c89	jhu-usc.edu_OV.HumanMethylation27.7.lvl-3.TCGA-36-1576-01A-01D-0536-05.gdc_hg38.txt	OV	TCGA-36-1576-01A-01D-0536-05	Tumor
9a108166-a6dd-4e26-b078-6bc1f82c85b1	jhu-usc.edu_OV.HumanMethylation27.5.lvl-3.TCGA-24-1464-01A-01D-0475-05.gdc_hg38.txt	OV	TCGA-24-1464-01A-01D-0475-05	Tumor
ea56ed64-f1ab-4b2b-a74d-ddbdf3a9f0cf	jhu-usc.edu_OV.HumanMethylation27.9.lvl-3.TCGA-04-1649-01A-01D-0581-05.gdc_hg38.txt	OV	TCGA-04-1649-01A-01D-0581-05	Tumor
c4693eca-9772-4555-ab41-bf6783983324	jhu-usc.edu_OV.HumanMethylation27.12.lvl-3.TCGA-59-2349-01A-01D-0708-05.gdc_hg38.txt	OV	TCGA-59-2349-01A-01D-0708-05	Tumor
fd9aad48-fdc8-4b8b-a86b-762356cb6f8d	jhu-usc.edu_READ.HumanMethylation27.7.lvl-3.TCGA-AG-3999-01A-01D-1116-05.gdc_hg38.txt	READ	TCGA-AG-3999-01A-01D-1116-05	Tumor
c9f2ce30-dd92-4aba-a58e-e9f907109008	jhu-usc.edu_OV.HumanMethylation27.4.lvl-3.TCGA-25-1326-01A-01D-0460-05.gdc_hg38.txt	OV	TCGA-25-1326-01A-01D-0460-05	Tumor
7c47e95d-5636-4e13-a47f-f02b4f2c012c	jhu-usc.edu_OV.HumanMethylation27.7.lvl-3.TCGA-25-1634-01A-01D-0536-05.gdc_hg38.txt	OV	TCGA-25-1634-01A-01D-0536-05	Tumor
301874fb-5913-4eeb-b1f9-5e59d4ea81dc	jhu-usc.edu_READ.HumanMethylation27.5.lvl-3.TCGA-AG-3726-01A-02D-0904-05.gdc_hg38.txt	READ	TCGA-AG-3726-01A-02D-0904-05	Tumor
e064d4ff-8fb3-4195-bc81-c06946b7f4b4	jhu-usc.edu_OV.HumanMethylation27.9.lvl-3.TCGA-61-1741-01A-02D-0581-05.gdc_hg38.txt	OV	TCGA-61-1741-01A-02D-0581-05	Tumor
02ac5361-b8e6-47f3-b22b-819408da1b1f	jhu-usc.edu_OV.HumanMethylation27.7.lvl-3.TCGA-09-1667-01C-01D-0536-05.gdc_hg38.txt	OV	TCGA-09-1667-01C-01D-0536-05	Tumor
56e2a885-e6a0-4a13-998e-79f5c7a5507c	jhu-usc.edu_OV.HumanMethylation27.10.lvl-3.TCGA-24-1930-01A-01D-0652-05.gdc_hg38.txt	OV	TCGA-24-1930-01A-01D-0652-05	Tumor
11e58d68-915c-454d-a466-9ba663139683	jhu-usc.edu_OV.HumanMethylation27.4.lvl-3.TCGA-25-1317-01A-01D-0460-05.gdc_hg38.txt	OV	TCGA-25-1317-01A-01D-0460-05	Tumor
3b41b7f5-7f02-41e9-b2e7-ea703cce3fd1	jhu-usc.edu_OV.HumanMethylation27.8.lvl-3.TCGA-29-1690-01A-01D-0563-05.gdc_hg38.txt	OV	TCGA-29-1690-01A-01D-0563-05	Tumor
270d4b66-8fb5-41d6-b4ac-407ece5f3e5a	jhu-usc.edu_OV.HumanMethylation27.12.lvl-3.TCGA-24-2290-01A-01D-0708-05.gdc_hg38.txt	OV	TCGA-24-2290-01A-01D-0708-05	Tumor
6ac93c65-2366-41dd-8fdb-b3dd85b4534f	jhu-usc.edu_OV.HumanMethylation27.4.lvl-3.TCGA-24-1413-01A-01D-0460-05.gdc_hg38.txt	OV	TCGA-24-1413-01A-01D-0460-05	Tumor
95fbfb19-8dfd-4307-9bf8-9eb6343dd160	jhu-usc.edu_OV.HumanMethylation27.7.lvl-3.TCGA-25-1633-01A-01D-0536-05.gdc_hg38.txt	OV	TCGA-25-1633-01A-01D-0536-05	Tumor
95ff0a05-e34c-418e-8671-873687318f1b	jhu-usc.edu_OV.HumanMethylation27.10.lvl-3.TCGA-30-1861-01A-01D-0652-05.gdc_hg38.txt	OV	TCGA-30-1861-01A-01D-0652-05	Tumor
b63388b1-b7d6-4c88-93ab-042471f3414e	jhu-usc.edu_OV.HumanMethylation27.4.lvl-3.TCGA-13-1403-01A-01D-0460-05.gdc_hg38.txt	OV	TCGA-13-1403-01A-01D-0460-05	Tumor
bbf8e352-0a94-40d5-9a90-404bcdcc95b5	jhu-usc.edu_OV.HumanMethylation27.11.lvl-3.TCGA-24-2033-01A-01D-0667-05.gdc_hg38.txt	OV	TCGA-24-2033-01A-01D-0667-05	Tumor
6f12895b-b314-42d4-97f9-4be7c48f0cd3	jhu-usc.edu_OV.HumanMethylation27.7.lvl-3.TCGA-24-1545-01A-01D-0536-05.gdc_hg38.txt	OV	TCGA-24-1545-01A-01D-0536-05	Tumor
