probe	gene_hg38	geneType	Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate	gene_hg19	hg19_in_hg38	hg38_in_hg19	different_gene_annotation
cg00000292	ATP2A1	protein_coding	cg00000292	0.737552848539901	ATP2A1	16	28890100	ATP2A1	TRUE	TRUE	FALSE
cg00002426	SLMAP	protein_coding	cg00002426	0.274218929933003	SLMAP	3	57743543	SLMAP	TRUE	TRUE	FALSE
cg00003994	MEOX2	protein_coding	cg00003994	0.247922519238319	MEOX2	7	15725862	MEOX2	TRUE	TRUE	FALSE
cg00005847	AC009336.19;HOXD3;RP11-387A1.5	protein_coding;antisense	cg00005847	0.60548055617841	HOXD3	2	177029073	HOXD3	TRUE	FALSE	TRUE
cg00006414	RN7SL521P;ZNF398;ZNF425	misc_RNA;protein_coding	cg00006414	NA	ZNF425;ZNF398	7	148822837	ZNF398;ZNF425	TRUE	FALSE	TRUE
cg00007981	PANX1	protein_coding	cg00007981	0.0338112631707194	PANX1	11	93862594	PANX1	TRUE	TRUE	FALSE
cg00008493	COX8C;UNC79	protein_coding	cg00008493	0.989315123859252	COX8C;KIAA1409	14	93813777	COX8C;KIAA1409	FALSE	FALSE	TRUE
cg00008713	IMPA2	protein_coding	cg00008713	0.00896293185606163	IMPA2	18	11980953	IMPA2	TRUE	TRUE	FALSE
cg00009407	TTC8	protein_coding	cg00009407	0.00845508758799348	TTC8	14	89290921	TTC8	TRUE	TRUE	FALSE
cg00010193	AC092535.3;TMED11P	antisense;unitary_pseudogene	cg00010193	0.608330685173647	NA	NA	0	NA	TRUE	FALSE	TRUE
cg00011459	PMM2;TMEM186	protein_coding	cg00011459	0.956367941228378	TMEM186;PMM2	16	8890425	PMM2;TMEM186	TRUE	TRUE	FALSE
cg00012199	ANG;RNASE4	protein_coding	cg00012199	0.0124205333745285	ANG;RNASE4	14	21151024	ANG;RNASE4	TRUE	TRUE	FALSE
cg00012386	JMJD4;SNAP47	protein_coding	cg00012386	0.0217363311728044	JMJD4;SNAP47	1	227922512	JMJD4;SNAP47	TRUE	TRUE	FALSE
cg00012792	BLOC1S5;BLOC1S5-TXNDC5;EEF1E1-BLOC1S5	protein_coding	cg00012792	0.0184570592081027	MUTED	6	8064493	MUTED	FALSE	FALSE	TRUE
cg00013618	IGLVI-70;PRAMENP	IG_V_pseudogene;transcribed_unprocessed_pseudogene	cg00013618	0.537531641741121	NA	22	22380839	NA	TRUE	FALSE	TRUE
cg00014085	ELMOD3;RETSAT	protein_coding	cg00014085	0.0135680246982963	ELMOD3;RETSAT	2	85581505	ELMOD3;RETSAT	TRUE	TRUE	FALSE
cg00014837	ACRBP	protein_coding	cg00014837	NA	ACRBP	12	6757257	ACRBP	TRUE	TRUE	FALSE
cg00015770	QRFPR	protein_coding	cg00015770	0.656638709733186	QRFPR	4	122302007	QRFPR	TRUE	TRUE	FALSE
cg00016968	RHOC;RP11-426L16.10	protein_coding	cg00016968	0.653859283901849	RHOC	1	113250448	RHOC	TRUE	FALSE	TRUE
cg00019495	HOPX	protein_coding	cg00019495	0.117927784503173	HOPX	4	57547525	HOPX	TRUE	TRUE	FALSE
cg00020533	TULP1	protein_coding	cg00020533	0.920791551677515	TULP1	6	35480916	TULP1	TRUE	TRUE	FALSE
cg00021527	AC015849.12;TAF15	lincRNA;protein_coding	cg00021527	0.0136099240196398	TAF15	17	34136180	TAF15	TRUE	FALSE	TRUE
cg00022606	TBC1D20	protein_coding	cg00022606	NA	TBC1D20	20	442445	TBC1D20	TRUE	TRUE	FALSE
cg00022866	CCDC88B	protein_coding	cg00022866	0.755164361356572	CCDC88B	11	64108440	CCDC88B	TRUE	TRUE	FALSE
cg00024396	ELOVL5;RP3-483K16.4	protein_coding;lincRNA	cg00024396	0.0490885771058606	ELOVL5	6	53214008	ELOVL5	TRUE	FALSE	TRUE
cg00024812	CPSF3;ITGB1BP1	protein_coding	cg00024812	0.0198205042776739	ITGB1BP1;CPSF3	2	9564248	CPSF3;ITGB1BP1	TRUE	TRUE	FALSE
cg00025138	MAP3K9;RP6-65G23.3	protein_coding;lincRNA	cg00025138	0.0130592349844753	MAP3K9	14	71275917	MAP3K9	TRUE	FALSE	TRUE
cg00025991	DIP2C	protein_coding	cg00025991	0.628720058921179	DIP2C	10	736625	DIP2C	TRUE	TRUE	FALSE
cg00027083	EPB41L3	protein_coding	cg00027083	0.635416727042277	EPB41L3	18	5543801	EPB41L3	TRUE	TRUE	FALSE
cg00027674	MIR3166;RAB38	miRNA;protein_coding	cg00027674	NA	RAB38	11	87908897	RAB38	TRUE	FALSE	TRUE
cg00029826	CCNB1IP1	protein_coding	cg00029826	0.0553059231460014	CCNB1IP1	14	20801459	CCNB1IP1	TRUE	TRUE	FALSE
cg00029931	BTK;RPL36A;RPL36A-HNRNPH2	protein_coding	cg00029931	0.035862967820822	RPL36A	X	100645741	RPL36A	TRUE	FALSE	TRUE
cg00030047	RNF207;RPL22	protein_coding	cg00030047	0.644954184911112	RNF207	1	6268790	RNF207	TRUE	FALSE	TRUE
cg00031162	TNFSF12;TNFSF12-TNFSF13	protein_coding	cg00031162	0.490852293591758	TNFSF12;TNFSF12-TNFSF13	17	7453377	TNFSF12;TNFSF12-TNFSF13	TRUE	TRUE	FALSE
cg00032227	NAT9;TMEM104	protein_coding	cg00032227	0.0125796873475613	TMEM104;NAT9	17	72772512	NAT9;TMEM104	TRUE	TRUE	FALSE
cg00032666	MAMLD1	protein_coding	cg00032666	NA	MAMLD1	X	149613398	MAMLD1	TRUE	TRUE	FALSE
cg00033516	KLF3;KLF3-AS1	protein_coding;processed_transcript	cg00033516	0.0367087009152678	FLJ13197;KLF3	4	38666773	FLJ13197;KLF3	FALSE	FALSE	TRUE
cg00033773	CTD-2192J16.24;WDR83;WDR83OS	protein_coding	cg00033773	0.913727968577534	MORG1;C19orf56	19	12779366	C19orf56;MORG1	FALSE	FALSE	TRUE
