Hybridization REF	TCGA-AA-A004-01A-01D-A00B-05	TCGA-AA-A004-01A-01D-A00B-05	TCGA-AA-A004-01A-01D-A00B-05	TCGA-AA-A004-01A-01D-A00B-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.737552848539901	ATP2A1	16	28890100
cg00002426	0.274218929933003	SLMAP	3	57743543
cg00003994	0.247922519238319	MEOX2	7	15725862
cg00005847	0.60548055617841	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0338112631707194	PANX1	11	93862594
cg00008493	0.989315123859252	COX8C;KIAA1409	14	93813777
cg00008713	0.00896293185606163	IMPA2	18	11980953
cg00009407	0.00845508758799348	TTC8	14	89290921
cg00010193	0.608330685173647	NA	NA	0
cg00011459	0.956367941228378	TMEM186;PMM2	16	8890425
cg00012199	0.0124205333745285	ANG;RNASE4	14	21151024
cg00012386	0.0217363311728044	JMJD4;SNAP47	1	227922512
cg00012792	0.0184570592081027	MUTED	6	8064493
cg00013618	0.537531641741121		22	22380839
cg00014085	0.0135680246982963	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.656638709733186	QRFPR	4	122302007
cg00016968	0.653859283901849	RHOC	1	113250448
cg00019495	0.117927784503173	HOPX	4	57547525
cg00020533	0.920791551677515	TULP1	6	35480916
cg00021527	0.0136099240196398	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.755164361356572	CCDC88B	11	64108440
cg00024396	0.0490885771058606	ELOVL5	6	53214008
cg00024812	0.0198205042776739	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0130592349844753	MAP3K9	14	71275917
cg00025991	0.628720058921179	DIP2C	10	736625
cg00027083	0.635416727042277	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0553059231460014	CCNB1IP1	14	20801459
cg00029931	0.035862967820822	RPL36A	X	100645741
cg00030047	0.644954184911112	RNF207	1	6268790
cg00031162	0.490852293591758	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0125796873475613	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0367087009152678	FLJ13197;KLF3	4	38666773
cg00033773	0.913727968577534	MORG1;C19orf56	19	12779366
cg00034039	0.0734804093679624	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0385032202947595	UBE2S	19	55919836
